ID,key_json,value_json
20,19,"114.124.204.244 - - [04/Aug/2021:13:33:42 +0700] ""GET /a/3pl/dash/kpi/courier/WAX23506 HTTP/1.1"" 200 160 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.403 uct=""0.000"" uht=""0.403"" urt=""0.403"" gz=""1.62"""
21,20,"114.4.212.112 - - [04/Aug/2021:13:33:42 +0700] ""GET /a/3pl/csn?id=3HCEBCCC&register=0&location=684&latitude=-6.2091149&longitude=106.981426&reference=TML%2FWAX23651%40684 HTTP/1.1"" 200 3011 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.761 uct=""0.000"" uht=""0.760"" urt=""0.761"" gz=""7.32"""
22,21,"120.188.66.41 - - [04/Aug/2021:13:33:42 +0700] ""GET /a/3pl/csn/cur/WAX24375?consignmentId=N16p17z5&referenceType=64&detail=1 HTTP/1.1"" 200 5376 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.798 uct=""0.000"" uht=""0.795"" urt=""0.798"" gz=""6.82"""
23,22,"182.0.147.148 - - [04/Aug/2021:13:33:42 +0700] ""GET /a/query/drpGetTransport?id=Dmb04q HTTP/1.1"" 200 245 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.016 uct=""0.001"" uht=""0.017"" urt=""0.017"" gz=""1.98"""
24,23,"114.5.253.6 - - [04/Aug/2021:13:33:42 +0700] ""GET /a/3pl/dash/kpi/courier/WAX24533 HTTP/1.1"" 200 159 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.384 uct=""0.000"" uht=""0.384"" urt=""0.384"" gz=""1.60"""
25,24,"112.215.65.248 - - [04/Aug/2021:13:33:43 +0700] ""POST /a/auth HTTP/1.1"" 200 443 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.021 uct=""0.001"" uht=""0.021"" urt=""0.021"" gz=""1.31"""
26,25,"140.213.15.158 - - [04/Aug/2021:13:33:43 +0700] ""GET /a/3pl/dash/kpi/courier/WAX24762 HTTP/1.1"" 200 160 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.364 uct=""0.000"" uht=""0.363"" urt=""0.363"" gz=""1.61"""
27,26,"115.178.211.193 - - [04/Aug/2021:13:33:43 +0700] ""GET /a/3pl/csn?id=9E9TM8BH&register=0&location=684&latitude=-6.2110412&longitude=106.981057&reference=TML%2FWAX23653%40684 HTTP/1.1"" 200 8132 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.770 uct=""0.001"" uht=""0.769"" urt=""0.770"" gz=""9.23"""
28,27,"114.124.148.153 - - [04/Aug/2021:13:33:43 +0700] ""POST /a/3pl/trn/lml HTTP/1.1"" 200 184 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.843 uct=""0.000"" uht=""0.396"" urt=""0.396"" gz=""1.36"""
29,28,"192.168.88.105 - - [04/Aug/2021:13:33:43 +0700] ""GET /nginx_status HTTP/1.1"" 200 117 ""-"" rt=0.000 uct=""-"" uht=""-"" urt=""-"" gz=""-"""
30,29,"112.215.65.248 - - [04/Aug/2021:13:33:43 +0700] ""GET /a/3pl/dash/kpi/courier/WAX22313 HTTP/1.1"" 200 156 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.381 uct=""0.001"" uht=""0.381"" urt=""0.381"" gz=""1.62"""
31,30,"103.10.66.69 - - [04/Aug/2021:13:33:43 +0700] ""GET /a/3pl/csn?id=m9ya1mmx&register=0&location=JME&latitude=-6.3021598&longitude=106.80375&reference=TML%2FWAX24070%40JME HTTP/1.1"" 200 3117 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.709 uct=""0.000"" uht=""0.707"" urt=""0.708"" gz=""6.34"""
32,31,"114.79.7.138 - - [04/Aug/2021:13:33:43 +0700] ""GET /a/3pl/csn?id=Yw9utk64&detail=1 HTTP/1.1"" 200 4969 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.786 uct=""0.000"" uht=""0.780"" urt=""0.786"" gz=""25.74"""
