ID,key_json,value_json
89,88,"114.4.212.124 - - [04/Aug/2021:13:33:49 +0700] ""GET /a/3pl/dash/kpi/courier/WAX23533 HTTP/1.1"" 200 162 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.467 uct=""0.000"" uht=""0.467"" urt=""0.468"" gz=""1.60"""
90,89,"114.124.130.24 - - [04/Aug/2021:13:33:49 +0700] ""GET /a/query/drpGetJenisPenerima HTTP/1.1"" 200 287 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.016 uct=""0.000"" uht=""0.016"" urt=""0.016"" gz=""2.44"""
91,90,"223.255.230.2 - - [04/Aug/2021:13:33:49 +0700] ""GET /a/3pl/csn?id=2PGG41JZ&register=0&location=KBX&latitude=-6.3249207&longitude=106.7281513&reference=TML%2FWAX23238%40KBX HTTP/1.1"" 200 7188 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.839 uct=""0.000"" uht=""0.834"" urt=""0.840"" gz=""9.26"""
92,91,"112.215.170.158 - - [04/Aug/2021:13:33:50 +0700] ""GET /a/3pl/csn/cur/WAX22317?consignmentId=NRJR8P82&referenceType=32 HTTP/1.1"" 200 635 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.864 uct=""0.001"" uht=""0.864"" urt=""0.865"" gz=""2.20"""
93,92,"111.94.119.70 - - [04/Aug/2021:13:33:50 +0700] ""GET /a/3pl/dash/kpi/courier/WAX22275 HTTP/1.1"" 200 152 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.402 uct=""0.000"" uht=""0.401"" urt=""0.401"" gz=""1.66"""
94,93,"116.206.13.87 - - [04/Aug/2021:13:33:50 +0700] ""GET /a/3pl/csn?id=RJ71DED9&detail=1 HTTP/1.1"" 200 2642 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.726 uct=""0.000"" uht=""0.723"" urt=""0.726"" gz=""6.37"""
95,94,"112.215.235.201 - - [04/Aug/2021:13:33:50 +0700] ""GET /a/3pl/dash/kpi/courier/WAX22052 HTTP/1.1"" 200 157 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.403 uct=""0.000"" uht=""0.404"" urt=""0.404"" gz=""1.62"""
96,95,"103.10.66.76 - - [04/Aug/2021:13:33:50 +0700] ""GET /a/3pl/csn/cur/WAX22057?consignmentId=DHNHTCKA&referenceType=32 HTTP/1.1"" 200 569 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.872 uct=""0.000"" uht=""0.872"" urt=""0.872"" gz=""2.33"""
97,96,"114.124.151.150 - - [04/Aug/2021:13:33:50 +0700] ""GET /a/3pl/csn?id=B1769hrx&register=0&location=633&latitude=-6.2099774&longitude=106.8729914&reference=TML%2FWAX23507%40633 HTTP/1.1"" 200 3849 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.763 uct=""0.000"" uht=""0.760"" urt=""0.762"" gz=""6.88"""
98,97,"114.124.148.153 - - [04/Aug/2021:13:33:50 +0700] ""GET /a/3pl/dash/kpi/courier/WAX24946 HTTP/1.1"" 200 163 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.440 uct=""0.000"" uht=""0.440"" urt=""0.440"" gz=""1.58"""
99,98,"120.188.65.205 - - [04/Aug/2021:13:33:50 +0700] ""GET /a/3pl/csn/cur/WAX22233?consignmentId=94M4H6ZB&referenceType=32 HTTP/1.1"" 200 587 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.916 uct=""0.000"" uht=""0.917"" urt=""0.917"" gz=""2.30"""
100,99,"112.215.170.158 - - [04/Aug/2021:13:33:50 +0700] ""GET /a/3pl/csn/cur/WAX22317?consignmentId=NRJR8P82&referenceType=32 HTTP/1.1"" 200 635 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.827 uct=""0.001"" uht=""0.827"" urt=""0.828"" gz=""2.20"""
