id,key_json,value_json
30,29,"{address space usage: 963911680 bytes/919MB} {rss usage: 265596928 bytes/253MB} [pid: 28136|app: 0|req: 25/31] 120.188.65.118 () {66 vars in 1170 bytes} [Wed Aug  4 14:41:50 2021] POST /a/auth => generated 568 bytes in 21 msecs (HTTP/1.1 200) 4 headers in 669 bytes (0 switches on core 2)"
31,30,"{address space usage: 963911680 bytes/919MB} {rss usage: 266178560 bytes/253MB} [pid: 28136|app: 0|req: 27/32] 114.124.200.229 () {58 vars in 1866 bytes} [Wed Aug  4 14:41:51 2021] GET /a/query/drpGetJenisPenerima => generated 671 bytes in 24 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 4)"
32,31,"{address space usage: 963911680 bytes/919MB} {rss usage: 266178560 bytes/253MB} [pid: 28136|app: 0|req: 27/33] 114.124.200.229 () {58 vars in 1893 bytes} [Wed Aug  4 14:41:51 2021] GET /a/query/drpGetLogisticRole?login=WAX22084 => generated 1875 bytes in 27 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 7)"
33,32,"{address space usage: 544002048 bytes/518MB} {rss usage: 163139584 bytes/155MB} [pid: 28128|app: 0|req: 1/34] 182.2.41.143 () {64 vars in 1981 bytes} [Wed Aug  4 14:41:51 2021] POST /a/auth => generated 591 bytes in 163 msecs (HTTP/1.1 200) 4 headers in 694 bytes (0 switches on core 2)"
34,33,"{address space usage: 613294080 bytes/584MB} {rss usage: 176709632 bytes/168MB} [pid: 28128|app: 0|req: 2/35] 120.188.65.118 () {62 vars in 1879 bytes} [Wed Aug  4 14:41:51 2021] GET /a/3pl/dash/kpi/courier/WAX23501 => generated 240 bytes in 456 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 7)"
35,34,"{address space usage: 546185216 bytes/520MB} {rss usage: 168275968 bytes/160MB} [pid: 28096|app: 0|req: 1/36] 182.2.41.143 () {58 vars in 1871 bytes} [Wed Aug  4 14:41:51 2021] GET /a/3pl/dash/kpi/courier/WAX24815 => generated 233 bytes in 524 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 1)"
36,35,"{address space usage: 613294080 bytes/584MB} {rss usage: 177762304 bytes/169MB} [pid: 28120|app: 0|req: 2/37] 114.4.222.134 () {60 vars in 1865 bytes} [Wed Aug  4 14:41:52 2021] GET /a/query/drpGetHub?id=Pfl => generated 599 bytes in 146 msecs (HTTP/1.1 200) 3 headers in 219 bytes (0 switches on core 4)"
37,36,"{address space usage: 963911680 bytes/919MB} {rss usage: 266338304 bytes/254MB} [pid: 28136|app: 0|req: 28/38] 140.213.13.127 () {58 vars in 1465 bytes} [Wed Aug  4 14:41:54 2021] GET /a/query/drpGetJenisPenerima => generated 671 bytes in 17 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 1)"
38,37,"{address space usage: 544002048 bytes/518MB} {rss usage: 163700736 bytes/156MB} [pid: 28104|app: 0|req: 1/39] 140.213.13.127 () {58 vars in 1492 bytes} [Wed Aug  4 14:41:54 2021] GET /a/query/drpGetLogisticRole?login=WAX23796 => generated 1795 bytes in 146 msecs (HTTP/1.1 200) 3 headers in 219 bytes (0 switches on core 1)"
39,38,"{address space usage: 963911680 bytes/919MB} {rss usage: 266383360 bytes/254MB} [pid: 28136|app: 0|req: 29/40] 120.188.35.205 () {64 vars in 1161 bytes} [Wed Aug  4 14:41:54 2021] POST /a/auth => generated 577 bytes in 23 msecs (HTTP/1.1 200) 4 headers in 678 bytes (0 switches on core 5)"
40,39,"{address space usage: 963911680 bytes/919MB} {rss usage: 271577088 bytes/258MB} [pid: 28136|app: 0|req: 31/41] 182.2.41.143 () {58 vars in 1897 bytes} [Wed Aug  4 14:41:55 2021] GET /a/query/drpGetLogisticRole?login=WAX24815 => generated 1884 bytes in 19 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 4)"
41,40,"{address space usage: 963911680 bytes/919MB} {rss usage: 271577088 bytes/258MB} [pid: 28136|app: 0|req: 31/42] 120.188.35.205 () {60 vars in 1888 bytes} [Wed Aug  4 14:41:55 2021] GET /a/3pl/dash/kpi/courier/WAX23555 => generated 240 bytes in 413 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 2)"
42,41,"{address space usage: 963911680 bytes/919MB} {rss usage: 271605760 bytes/259MB} [pid: 28136|app: 0|req: 33/43] 182.2.41.143 () {58 vars in 1905 bytes} [Wed Aug  4 14:41:55 2021] GET /a/query/drpGetConsignorByLogin?login=WAX24815 => generated 1144 bytes in 29 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 6)"
