id,key_json,value_json
77,76,"{address space usage: 680542208 bytes/649MB} {rss usage: 195809280 bytes/186MB} [pid: 28112|app: 0|req: 4/78] 112.215.65.89 () {60 vars in 1859 bytes} [Wed Aug  4 14:42:13 2021] GET /a/3pl/dash/kpi/courier/WAX24022 => generated 240 bytes in 345 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 5)"
78,77,"{address space usage: 747651072 bytes/713MB} {rss usage: 209846272 bytes/200MB} [pid: 28112|app: 0|req: 5/79] 120.188.2.111 () {50 vars in 1856 bytes} [Wed Aug  4 14:42:14 2021] GET /a/3pl/csn?id=AGCTJ9EK&register=0&location=645&latitude=-6.1106626&longitude=106.8943664&reference=TML%2FWAX23856%40645 => generated 48502 bytes in 834 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 2)"
79,78,"{address space usage: 964943872 bytes/920MB} {rss usage: 295157760 bytes/281MB} [pid: 28136|app: 0|req: 59/80] 114.124.200.229 () {58 vars in 1953 bytes} [Wed Aug  4 14:42:15 2021] GET /a/3pl/csn/cur/WAX22084?consignmentId=6nljbm6t&referenceType=64&detail=1 => generated 37261 bytes in 786 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 0)"
80,79,"{address space usage: 964943872 bytes/920MB} {rss usage: 295202816 bytes/281MB} [pid: 28136|app: 0|req: 60/81] 120.188.2.111 () {50 vars in 1856 bytes} [Wed Aug  4 14:42:16 2021] GET /a/3pl/csn?id=AGCTJ9EK&register=0&location=645&latitude=-6.1106626&longitude=106.8943664&reference=TML%2FWAX23856%40645 => generated 48502 bytes in 72 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 4)"
81,80,"{address space usage: 814759936 bytes/777MB} {rss usage: 208781312 bytes/199MB} [pid: 28128|app: 0|req: 6/82] 120.188.2.111 () {50 vars in 1856 bytes} [Wed Aug  4 14:42:16 2021] GET /a/3pl/csn?id=AGCTJ9EK&register=0&location=645&latitude=-6.1106626&longitude=106.8943664&reference=TML%2FWAX23856%40645 => generated 48502 bytes in 67 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 5)"
82,81,"{address space usage: 964943872 bytes/920MB} {rss usage: 295202816 bytes/281MB} [pid: 28136|app: 0|req: 61/83] 116.206.29.4 () {64 vars in 1167 bytes} [Wed Aug  4 14:42:16 2021] POST /a/auth => generated 577 bytes in 24 msecs (HTTP/1.1 200) 4 headers in 678 bytes (0 switches on core 1)"
83,82,"{address space usage: 964943872 bytes/920MB} {rss usage: 295202816 bytes/281MB} [pid: 28136|app: 0|req: 62/84] 116.206.29.4 () {60 vars in 1894 bytes} [Wed Aug  4 14:42:17 2021] GET /a/3pl/dash/kpi/courier/WAX23269 => generated 240 bytes in 370 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 5)"
84,83,"{address space usage: 680542208 bytes/649MB} {rss usage: 181764096 bytes/173MB} [pid: 28096|app: 0|req: 3/85] 112.215.65.89 () {60 vars in 1885 bytes} [Wed Aug  4 14:42:17 2021] GET /a/query/drpGetLogisticRole?login=WAX24022 => generated 1791 bytes in 145 msecs (HTTP/1.1 200) 3 headers in 219 bytes (0 switches on core 7)"
85,84,"{address space usage: 680542208 bytes/649MB} {rss usage: 186187776 bytes/177MB} [pid: 28096|app: 0|req: 3/86] 112.215.65.89 () {60 vars in 1858 bytes} [Wed Aug  4 14:42:17 2021] GET /a/query/drpGetJenisPenerima => generated 673 bytes in 137 msecs (HTTP/1.1 200) 3 headers in 219 bytes (0 switches on core 6)"
86,85,"{address space usage: 964943872 bytes/920MB} {rss usage: 295215104 bytes/281MB} [pid: 28136|app: 0|req: 63/87] 36.68.53.225 () {54 vars in 1709 bytes} [Wed Aug  4 14:42:17 2021] GET /a/query/drpGetLogisticRole?login=WAX24625 => generated 1798 bytes in 21 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 6)"
87,86,"{address space usage: 964943872 bytes/920MB} {rss usage: 295215104 bytes/281MB} [pid: 28136|app: 0|req: 64/88] 36.68.53.225 () {54 vars in 1687 bytes} [Wed Aug  4 14:42:17 2021] GET /a/3pl/csn?id=kcgh1khe&detail=1 => generated 24805 bytes in 712 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 0)"
88,87,"{address space usage: 964943872 bytes/920MB} {rss usage: 295256064 bytes/281MB} [pid: 28136|app: 0|req: 65/89] 117.54.3.11 () {62 vars in 1113 bytes} [Wed Aug  4 14:42:18 2021] POST /a/auth => generated 572 bytes in 24 msecs (HTTP/1.1 200) 4 headers in 673 bytes (0 switches on core 4)"
89,88,"{address space usage: 964943872 bytes/920MB} {rss usage: 295256064 bytes/281MB} [pid: 28136|app: 0|req: 66/90] 117.54.3.11 () {58 vars in 1830 bytes} [Wed Aug  4 14:42:19 2021] GET /a/3pl/dash/kpi/courier/WAXD0007 => generated 233 bytes in 345 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 2)"
90,89,"{address space usage: 964943872 bytes/920MB} {rss usage: 295297024 bytes/281MB} [pid: 28136|app: 0|req: 67/91] 116.206.29.4 () {60 vars in 1920 bytes} [Wed Aug  4 14:42:22 2021] GET /a/query/drpGetLogisticRole?login=WAX23269 => generated 1799 bytes in 24 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 1)"
91,90,"{address space usage: 964943872 bytes/920MB} {rss usage: 295301120 bytes/281MB} [pid: 28136|app: 0|req: 68/92] 116.206.29.4 () {60 vars in 1928 bytes} [Wed Aug  4 14:42:22 2021] GET /a/query/drpGetConsignorByLogin?login=WAX23269 => generated 1144 bytes in 32 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 3)"
92,91,"{address space usage: 689233920 bytes/657MB} {rss usage: 194924544 bytes/185MB} [pid: 28096|app: 0|req: 4/93] 112.215.151.83 () {58 vars in 1893 bytes} [Wed Aug  4 14:42:23 2021] GET /a/query/drpGetLogisticRole?login=WAX23547 => generated 1800 bytes in 133 msecs (HTTP/1.1 200) 3 headers in 219 bytes (0 switches on core 0)"
93,92,"{address space usage: 694300672 bytes/662MB} {rss usage: 200630272 bytes/191MB} [pid: 28120|app: 0|req: 4/94] 112.215.151.83 () {58 vars in 1901 bytes} [Wed Aug  4 14:42:23 2021] GET /a/query/drpGetConsignorByLogin?login=WAX23547 => generated 1144 bytes in 152 msecs (HTTP/1.1 200) 3 headers in 219 bytes (0 switches on core 6)"
94,93,"{address space usage: 964943872 bytes/920MB} {rss usage: 295563264 bytes/281MB} [pid: 28136|app: 0|req: 70/95] 120.188.2.111 () {50 vars in 1856 bytes} [Wed Aug  4 14:42:23 2021] GET /a/3pl/csn?id=WJT824X7&register=0&location=645&latitude=-6.1106626&longitude=106.8943664&reference=TML%2FWAX23856%40645 => generated 52321 bytes in 711 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 7)"
95,94,"{address space usage: 964943872 bytes/920MB} {rss usage: 295763968 bytes/282MB} [pid: 28136|app: 0|req: 72/96] 120.188.32.134 () {66 vars in 1606 bytes} [Wed Aug  4 14:42:24 2021] POST /a/auth => generated 568 bytes in 23 msecs (HTTP/1.1 200) 4 headers in 669 bytes (0 switches on core 2)"
96,95,"{address space usage: 964943872 bytes/920MB} {rss usage: 295809024 bytes/282MB} [pid: 28136|app: 0|req: 72/97] 114.79.6.21 () {54 vars in 1712 bytes} [Wed Aug  4 14:42:24 2021] GET /a/3pl/csn?id=YHB2D471&detail=1 => generated 240 bytes in 334 msecs (HTTP/1.1 400) 2 headers in 173 bytes (0 switches on core 4)"
97,96,"{address space usage: 964943872 bytes/920MB} {rss usage: 296075264 bytes/282MB} [pid: 28136|app: 0|req: 72/98] 120.188.35.233 () {60 vars in 1974 bytes} [Wed Aug  4 14:42:23 2021] GET /a/3pl/csn/cur/WAX23573?consignmentId=C9nb9f9e&referenceType=64&detail=1 => generated 36125 bytes in 769 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 5)"
98,97,"{address space usage: 964943872 bytes/920MB} {rss usage: 296181760 bytes/282MB} [pid: 28136|app: 0|req: 73/99] 120.188.32.134 () {60 vars in 1876 bytes} [Wed Aug  4 14:42:24 2021] GET /a/3pl/dash/kpi/courier/WAX22234 => generated 238 bytes in 352 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 1)"
99,98,"{address space usage: 964943872 bytes/920MB} {rss usage: 296181760 bytes/282MB} [pid: 28136|app: 0|req: 75/100] 140.213.13.207 () {66 vars in 1567 bytes} [Wed Aug  4 14:42:25 2021] POST /a/auth => generated 577 bytes in 22 msecs (HTTP/1.1 200) 4 headers in 678 bytes (0 switches on core 6)"
100,99,"{address space usage: 974962688 bytes/929MB} {rss usage: 304807936 bytes/290MB} [pid: 28136|app: 0|req: 76/101] 112.215.238.27 () {64 vars in 1607 bytes} [Wed Aug  4 14:42:25 2021] POST /a/3pl/trn/ldl => generated 680 bytes in 127 msecs (HTTP/1.1 200) 3 headers in 219 bytes (0 switches on core 0)"
